CLIENT_AGE,CLIENT_ENCOURS_ENGAGEMENT,CLIENT_MMM,CLIENT_NOMBRE_CARTES,CLIENT_PROFESSION,CLIENT_TYPE_DEPOSANT,CLIENT_VRD_MOY,TOTAL_PACK,SEGMENT_PCA
38,0.0,862.166,1,Technicien,CLIENT_A_VUE,736.7152,1.0,0
39,176.48125,1424.917,1,Cadre moyen,CLIENT_A_VUE,43.2098,1.0,1
27,176.48125,1506.589,1,Cadre moyen,CLIENT_A_VUE,476.55565,1.0,3
32,43.978,910.743,4,Ingénieurs,CLIENT_A_VUE,366.69305,2.0,0
35,176.48125,395.821,1,Acteur en bâtiment travaux publics,CLIENT_A_VUE,225.2986,1.0,2
22,0.0,0.0,0,Cadre moyen,CLIENT_EXCLUSIF_EPARGNE,970.64657142857,1.0,1
36,0.0,98.82,2,Commerçant,CLIENT_A_VUE,6193.3788,1.0,3
34,0.0,0.0,1,Ouvrier,CLIENT_EXCLUSIF_EPARGNE,46.1916,1.0,0
37,0.0,0.0,0,Sans profession,CLIENT_EXCLUSIF_EPARGNE,81.84265,0.0,0
42,176.48125,411.533,1,Ouvrier,CLIENT_A_VUE,0.0,1.0,0
38,176.48125,2957.48125,3,Cadre moyen,CLIENT_A_VUE,6634.8935335228125,1.0,1
33,0.0,1118.333,3,Technicien,CLIENT_A_VUE,928.87595,2.0,3
60,176.48125,450.0,2,Agriculteur,CLIENT_A_VUE,0.0,1.0,3
53,176.48125,1344.048,2,Cadre moyen,CLIENT_A_VUE,1143.0582,1.0,0
37,0.0,0.0,0,Ouvrier,CLIENT_EXCLUSIF_EPARGNE,510.6833,1.0,0
32,0.0,0.0,0,Ouvrier,CLIENT_EXCLUSIF_EPARGNE,67.3484,1.0,3
24,0.0,0.0,1,Ouvrier,CLIENT_EXCLUSIF_EPARGNE,15.3725,1.0,1
77,0.0,0.0,0,Sans profession,CLIENT_EXCLUSIF_EPARGNE,17.21945,0.0,0
36,0.0,0.0,1,Ouvrier,CLIENT_EXCLUSIF_EPARGNE,45.7967,1.0,0
40,176.48125,456.079,2,Cadre moyen,CLIENT_A_VUE,14.0101,1.0,0
41,0.0,1559.345,2,Cadre moyen,CLIENT_A_VUE,347.97995,1.0,0
28,0.0,0.0,1,Ouvrier,CLIENT_EXCLUSIF_EPARGNE,13.5454,0.0,0
41,0.0,0.0,1,Agent,CLIENT_EXCLUSIF_EPARGNE,165.61975,1.0,0
33,176.48125,866.667,2,Agent,CLIENT_A_VUE,723.388,1.0,3
48,176.48125,2666.262,2,Professionnel en santé,CLIENT_A_VUE,6634.8935335228125,1.0,0
30,176.48125,1712.905,2,Employés de bureau,CLIENT_A_VUE,47.68145,2.0,1
31,176.48125,694.066,2,Dirigeant et gérant,CLIENT_A_VUE,187.76305,1.0,3
47,0.0,0.0,0,Employés de bureau,CLIENT_EXCLUSIF_EPARGNE,16.1057,0.0,1
27,0.0,0.0,1,Élèves,CLIENT_EXCLUSIF_EPARGNE,0.0,1.0,0
64,0.0,0.0,0,Sans profession,CLIENT_EXCLUSIF_EPARGNE,16.37215,0.0,0
32,0.0,0.0,0,Cadre supérieur,CLIENT_A_VUE,16.90135,0.0,0
45,0.0,124.103,0,Cadre moyen,CLIENT_A_VUE,1274.4521,1.0,3
30,0.0,1743.311,0,Cadre moyen,CLIENT_A_VUE,5168.48985,0.0,0
47,0.0,0.0,0,Acteur dans le secteur d'éducation,CLIENT_EXCLUSIF_EPARGNE,106.5803,1.0,0
29,0.0,0.0,0,Étudiants,CLIENT_EXCLUSIF_EPARGNE,182.44765,1.0,3
64,0.0,0.0,0,Ouvrier,CLIENT_EXCLUSIF_EPARGNE,50.67835,0.0,1
40,0.0,0.0,0,Conducteur,CLIENT_EXCLUSIF_EPARGNE,16.021,0.0,0
48,0.0,0.0,0,Artisan,CLIENT_EXCLUSIF_EPARGNE,22.4791,0.0,0
35,176.48125,2250.0,2,Cadre supérieur,CLIENT_A_VUE,5287.8896,1.0,3
44,0.0,1487.989,0,Acteur dans le secteur d'éducation,CLIENT_A_VUE,451.3172,1.0,2
25,0.0,0.0,0,Élèves,CLIENT_EXCLUSIF_EPARGNE,5934.028,1.0,3
19,0.0,0.0,1,Étudiants,CLIENT_EXCLUSIF_EPARGNE,317.78035,1.0,0
53,0.0,0.0,1,Employés de bureau,CLIENT_EXCLUSIF_EPARGNE,6634.72965,1.0,2
33,176.48125,0.0,1,Ouvrier,CLIENT_A_VUE,0.0,1.0,0
47,0.0,0.0,0,Sans profession,CLIENT_EXCLUSIF_EPARGNE,11.2122,0.0,1
37,0.0,0.0,0,Cadre moyen,CLIENT_EXCLUSIF_EPARGNE,3.75575,0.0,0
44,176.48125,183.333,0,Acteur de la justice,CLIENT_A_VUE,71.84695,0.0,3
39,0.001,0.0,1,Ouvrier,CLIENT_EXCLUSIF_EPARGNE,0.0,1.0,1
27,0.0,0.0,0,Commerçant,CLIENT_EXCLUSIF_EPARGNE,1248.5403,0.0,1
71,0.0,0.0,0,Sans profession,CLIENT_EXCLUSIF_EPARGNE,6634.8935335228125,0.0,0
33,0.0,0.0,0,Cadre moyen,CLIENT_EXCLUSIF_EPARGNE,12.84345,0.0,0
59,0.0,0.0,0,Artisan,CLIENT_EXCLUSIF_EPARGNE,6634.8935335228125,0.0,0
58,58.919,0.0,0,Commerçant,CLIENT_A_VUE,0.0,0.0,0
30,176.48125,1682.086,2,Acteur en service de défense/sécurité,CLIENT_A_VUE,1126.3525,2.0,0
29,0.0,2868.491,1,Acteur en service de défense/sécurité,CLIENT_A_VUE,1403.04085,1.0,0
33,176.48125,2957.48125,1,Directeurs d'entreprises,CLIENT_A_VUE,6634.8935335228125,1.0,0
24,0.0,729.6,1,Ouvrier,CLIENT_A_VUE,633.51555,0.0,2
42,176.48125,2957.48125,3,Professionnel en santé,CLIENT_A_VUE,6634.8935335228125,1.0,0
19,0.0,0.0,0,Élèves,CLIENT_EXCLUSIF_EPARGNE,13.408,1.0,3
35,0.0,0.0,0,Agriculteur,CLIENT_EXCLUSIF_EPARGNE,2859.4912,1.0,1
45,176.48125,1893.822,3,Employés de bureau,CLIENT_A_VUE,0.0,1.0,3
37,0.0,0.0,1,Ouvrier,CLIENT_EXCLUSIF_EPARGNE,6634.8935335228125,1.0,0
35,0.0,0.0,0,Élèves,CLIENT_EXCLUSIF_EPARGNE,6634.8935335228125,0.0,3
25,0.0,0.0,0,Élèves,CLIENT_EXCLUSIF_EPARGNE,12.37165,1.0,0
24,0.0,0.0,0,Étudiants,CLIENT_EXCLUSIF_EPARGNE,6634.8935335228125,0.0,2
57,0.0,0.0,0,Employés de bureau,CLIENT_EXCLUSIF_EPARGNE,5.87185,0.0,0
30,0.0,0.0,1,Commerçant,CLIENT_EXCLUSIF_EPARGNE,730.9028,0.0,0
42,0.0,0.0,0,Sans profession,CLIENT_EXCLUSIF_EPARGNE,17.34615,0.0,0
36,176.48125,2957.48125,0,Artisan,CLIENT_A_VUE,2350.7556,1.0,0
39,176.48125,132.733,0,Agent,CLIENT_A_VUE,18.2105,1.0,1
42,0.0,0.0,0,Cadre moyen,CLIENT_EXCLUSIF_EPARGNE,13.43435,1.0,1
19,0.0,0.0,0,Élèves,CLIENT_EXCLUSIF_EPARGNE,25.149,1.0,0
49,0.0,0.0,0,Cadre moyen,CLIENT_EXCLUSIF_EPARGNE,1187.2547,0.0,0
27,0.0,0.0,1,Étudiants,CLIENT_EXCLUSIF_EPARGNE,414.4346,1.0,0
57,0.0,0.0,0,Sans profession,CLIENT_EXCLUSIF_EPARGNE,138.23015,0.0,3
67,0.0,0.0,0,Ouvrier,CLIENT_EXCLUSIF_EPARGNE,1.67495,0.0,0
48,176.48125,2957.48125,1,Cadre supérieur,CLIENT_A_VUE,1320.7971,2.0,0
30,0.0,0.0,0,Employés de bureau,CLIENT_EXCLUSIF_EPARGNE,11.32055,1.0,0
49,0.0,0.0,0,Agriculteur,CLIENT_EXCLUSIF_EPARGNE,1713.8739,1.0,0
40,176.48125,1145.462,2,Ouvrier,CLIENT_A_VUE,430.96505,1.0,3
39,176.48125,2957.48125,4,Dirigeant et gérant,CLIENT_A_VUE,267.6702,1.0,0
66,3.343,660.145,0,Retraités,CLIENT_A_VUE,70.6799,0.0,3
46,176.48125,1116.017,0,Cadre moyen,CLIENT_A_VUE,519.1624,1.0,0
36,0.0,0.0,0,Acteur en bâtiment travaux publics,CLIENT_EXCLUSIF_EPARGNE,36.8058,0.0,3
50,176.48125,1332.975,3,Technicien,CLIENT_A_VUE,0.0,1.0,3
31,0.0,0.0,1,Ouvrier,CLIENT_EXCLUSIF_EPARGNE,16.44685,1.0,0
35,0.0,0.0,1,Sans profession,CLIENT_EXCLUSIF_EPARGNE,26.98825,1.0,0
49,176.48125,1722.692,0,Employés de bureau,CLIENT_A_VUE,103.6255,0.0,0
59,0.0,0.0,0,Employés de bureau,CLIENT_EXCLUSIF_EPARGNE,1077.1636,0.0,3
44,0.0,0.0,0,Conducteur,CLIENT_EXCLUSIF_EPARGNE,397.4576,0.0,0
39,0.0,0.0,0,Commerçant,CLIENT_EXCLUSIF_EPARGNE,26.98575,0.0,3
58,176.48125,1630.0,0,Agriculteur,CLIENT_A_VUE,0.0,1.0,1
46,0.0,2957.48125,1,Directeurs d'entreprises,CLIENT_A_VUE,6634.8935335228125,1.0,0
28,176.48125,1256.535,2,Acteur en service de défense/sécurité,CLIENT_A_VUE,573.85405,1.0,2
34,0.0,0.0,0,Employés de bureau,CLIENT_EXCLUSIF_EPARGNE,1170.2013,0.0,0
28,0.0,0.0,1,Étudiants,CLIENT_EXCLUSIF_EPARGNE,0.0,0.0,3
26,0.0,713.333,2,Cadre moyen,CLIENT_A_VUE,137.271,1.0,0
28,176.48125,115.162,1,Professionnel en santé,CLIENT_A_VUE,184.4899,2.0,2
32,176.48125,649.0,2,Cadre moyen,CLIENT_A_VUE,303.63805,1.0,0
66,0.0,0.0,0,Sans profession,CLIENT_EXCLUSIF_EPARGNE,25.83805,0.0,0
31,0.0,813.4,2,Technicien,CLIENT_A_VUE,60.1976,1.0,0
19,0.0,0.0,1,Élèves,CLIENT_EXCLUSIF_EPARGNE,17.03665,1.0,0
41,83.422,766.051,0,Employés de bureau,CLIENT_A_VUE,49.63465,0.0,1
32,176.48125,964.62,3,Employés de bureau,CLIENT_A_VUE,0.0,1.0,1
26,0.0,0.0,0,Ouvrier,CLIENT_EXCLUSIF_EPARGNE,730.4011,0.0,0
27,0.0,1510.119,2,Acteur en service de défense/sécurité,CLIENT_A_VUE,427.92805,1.0,3
66,176.48125,2338.262,2,Cadre moyen,CLIENT_A_VUE,4009.49945,1.0,0
27,0.0,0.0,0,Ouvrier,CLIENT_EXCLUSIF_EPARGNE,10.1388,0.0,0
64,176.48125,0.0,0,Cadre moyen,CLIENT_A_VUE,0.0,0.0,2
61,0.0,0.0,0,Commerçant,CLIENT_EXCLUSIF_EPARGNE,29.4894,0.0,3
45,18.916,600.0,0,Conducteur,CLIENT_A_VUE,39.3611,1.0,0
24,0.0,0.0,0,Étudiants,CLIENT_EXCLUSIF_EPARGNE,514.251,1.0,0
40,0.0,0.0,0,Conducteur,CLIENT_EXCLUSIF_EPARGNE,12.46735,0.0,0
45,0.0,0.0,1,Ouvrier,CLIENT_EXCLUSIF_EPARGNE,250.5184,0.0,1
58,176.48125,1770.663,0,Professionnel en santé,CLIENT_A_VUE,6634.8935335228125,1.0,3
63,0.0,0.0,0,Cadre moyen,CLIENT_A_VUE,6634.8935335228125,0.0,0
47,0.0,0.0,0,Sans profession,CLIENT_EXCLUSIF_EPARGNE,1690.5066666667,0.0,0
23,176.48125,0.0,2,Technicien,CLIENT_A_VUE,0.0,1.0,2
36,0.0,0.0,1,Ouvrier,CLIENT_EXCLUSIF_EPARGNE,118.36085,0.0,0
55,176.48125,2957.48125,0,Commerçant,CLIENT_A_VUE,1992.3616,0.0,3
32,51.835,24.444,1,Employés de bureau,CLIENT_A_VUE,50.58315,1.0,0
48,0.0,0.0,0,Artisan,CLIENT_EXCLUSIF_EPARGNE,214.8044,0.0,0
59,0.0,0.0,1,Retraités,CLIENT_EXCLUSIF_EPARGNE,2454.1019,0.0,1
30,0.0,0.0,1,Dirigeant et gérant,CLIENT_A_VUE,875.8133,0.0,0
23,0.0,0.0,0,Ouvrier,CLIENT_EXCLUSIF_EPARGNE,12.29595,0.0,1
23,0.0,650.0,0,Cadre moyen,CLIENT_A_VUE,154.7786,0.0,0
27,0.0,0.0,1,Ouvrier,CLIENT_EXCLUSIF_EPARGNE,305.7269,0.0,0
63,0.0,0.0,0,Sans profession,CLIENT_EXCLUSIF_EPARGNE,6634.8935335228125,0.0,3
37,0.0,0.0,0,Cadre supérieur,CLIENT_EXCLUSIF_EPARGNE,6634.8935335228125,0.0,0
32,0.0,2957.48125,2,Employés de bureau,CLIENT_A_VUE,2074.54705,1.0,1
21,0.0,0.0,0,Étudiants,CLIENT_EXCLUSIF_EPARGNE,80.2338,0.0,1
27,176.48125,2957.48125,0,Professionnel en santé ,CLIENT_A_VUE,6634.8935335228125,2.0,1
23,31.57,221.924,1,Ouvrier,CLIENT_A_VUE,6.0702,1.0,0
28,0.0,0.0,0,Élèves,CLIENT_EXCLUSIF_EPARGNE,12.87715,0.0,0
29,176.48125,1158.333,2,Dirigeant et gérant ,CLIENT_A_VUE,59.64655,1.0,3
36,176.48125,1575.45,1,Acteur dans le secteur d'éducation,CLIENT_A_VUE,818.07905,1.0,3
71,0.0,1836.753,0,Acteur dans le secteur d'éducation,CLIENT_A_VUE,563.34945,0.0,0
37,0.0,2373.772,2,Cadre moyen,CLIENT_A_VUE,6634.8935335228125,1.0,0
59,0.0,0.0,0,Sans profession,CLIENT_EXCLUSIF_EPARGNE,0.1374,0.0,0
43,0.0,0.0,1,Commerçant,CLIENT_EXCLUSIF_EPARGNE,4.5585,1.0,3
45,0.0,2957.48125,1,Dirigeant et gérant,CLIENT_A_VUE,6634.8935335228125,0.0,0
54,0.0,0.0,1,Technicien,CLIENT_EXCLUSIF_EPARGNE,1431.64285,1.0,0
52,176.48125,943.286,0,Employés de bureau,CLIENT_A_VUE,985.7429,0.0,3
43,176.48125,2957.48125,3,Cadre supérieur,CLIENT_A_VUE,5692.65925,1.0,0
22,0.0,0.0,2,Acteur en service de défense/sécurité,CLIENT_A_VUE,0.0,1.0,3
33,176.48125,971.006,1,Employés de bureau,CLIENT_A_VUE,10.578,1.0,0
25,0.0,1338.026,2,Cadre supérieur,CLIENT_A_VUE,929.88655,1.0,1
54,0.0,0.0,0,Élèves,CLIENT_EXCLUSIF_EPARGNE,259.7762,0.0,0
53,176.48125,2957.48125,3,Cadre moyen,CLIENT_A_VUE,6634.8935335228125,1.0,0
35,176.48125,1526.482,3,Cadre moyen,CLIENT_A_VUE,583.8567,1.0,3
20,0.0,0.0,1,Employés de bureau,CLIENT_EXCLUSIF_EPARGNE,16.26745,1.0,1
55,0.0,0.0,0,Ouvrier,CLIENT_EXCLUSIF_EPARGNE,90.22615,0.0,1
29,0.0,2957.48125,1,Étudiants,CLIENT_A_VUE,6634.8935335228125,1.0,0
58,0.0,0.0,0,Employés de bureau,CLIENT_EXCLUSIF_EPARGNE,6634.8935335228125,0.0,0
39,0.0,2377.625,2,Cadre supérieur,CLIENT_A_VUE,6634.8935335228125,1.0,0
45,0.0,0.0,1,Agent,CLIENT_EXCLUSIF_EPARGNE,7.99245,1.0,0
55,30.128,1001.5,1,Ouvrier,CLIENT_A_VUE,722.9776,1.0,1
29,0.0,0.0,1,Ouvrier,CLIENT_EXCLUSIF_EPARGNE,0.0,0.0,0
40,0.0,0.0,0,Employés de bureau,CLIENT_EXCLUSIF_EPARGNE,10.4823,0.0,1
42,0.0,0.0,0,Ouvrier,CLIENT_EXCLUSIF_EPARGNE,13.5104,0.0,3
24,0.0,0.0,0,Ouvrier,CLIENT_EXCLUSIF_EPARGNE,33.8667,1.0,1
68,0.0,1163.288,0,Employés de bureau,CLIENT_A_VUE,6634.8935335228125,1.0,1
39,0.0,0.0,0,Étudiants,CLIENT_EXCLUSIF_EPARGNE,49.3842,0.0,0
57,0.0,2957.48125,2,Cadre supérieur,CLIENT_A_VUE,6634.8935335228125,1.0,3
33,0.0,0.0,0,Ouvrier,CLIENT_EXCLUSIF_EPARGNE,0.0,0.0,0
46,0.0,0.0,0,Élèves,CLIENT_EXCLUSIF_EPARGNE,21.67345,0.0,0
42,176.48125,1136.817,1,Ouvrier,CLIENT_A_VUE,865.0734,1.0,0
56,0.0,0.0,0,Conseiller et consultant,CLIENT_EXCLUSIF_EPARGNE,6.6575,0.0,0
51,0.0,0.0,0,Retraités,CLIENT_EXCLUSIF_EPARGNE,0.0,0.0,1
30,0.0,0.0,1,Artisan,CLIENT_EXCLUSIF_EPARGNE,6634.8935335228125,1.0,0
29,176.48125,2957.48125,2,Cadre supérieur,CLIENT_A_VUE,1203.4284,1.0,0
29,0.0,0.0,1,Technicien,CLIENT_EXCLUSIF_EPARGNE,103.2864,1.0,3
74,0.0,0.0,1,Retraités,CLIENT_EXCLUSIF_EPARGNE,4830.2563,0.0,0
41,0.0,0.0,1,Ouvrier,CLIENT_EXCLUSIF_EPARGNE,6634.8935335228125,1.0,3
32,0.0,0.0,1,Professionnel en santé ,CLIENT_EXCLUSIF_EPARGNE,1635.17445,1.0,3
62,0.0,0.0,1,Agriculteur,CLIENT_EXCLUSIF_EPARGNE,1170.40005,1.0,3
68,176.48125,757.868,0,Retraités,CLIENT_A_VUE,2.2694,0.0,1
44,0.0,0.0,0,Sans profession,CLIENT_EXCLUSIF_EPARGNE,6634.8935335228125,0.0,0
35,0.0,0.0,0,Sans profession,CLIENT_EXCLUSIF_EPARGNE,517.7667,0.0,1
27,0.0,0.0,1,Employé de bureau,CLIENT_EXCLUSIF_EPARGNE,13.3932,1.0,0
42,0.0,0.0,1,Ouvrier,CLIENT_EXCLUSIF_EPARGNE,2510.77625,0.0,2
34,176.48125,1134.407,1,Cadre moyen,CLIENT_A_VUE,244.81525,1.0,3
41,0.0,0.0,0,Cadre moyen,CLIENT_EXCLUSIF_EPARGNE,216.8136,0.0,1
25,0.0,1378.028,3,Employés de bureau,CLIENT_A_VUE,3692.1735,2.0,2
56,0.0,0.0,0,Cadre moyen,CLIENT_EXCLUSIF_EPARGNE,5841.65265,0.0,0
38,0.0,0.0,1,Commerçant,CLIENT_EXCLUSIF_EPARGNE,16.24985,1.0,3
25,0.0,0.0,1,Ouvrier,CLIENT_EXCLUSIF_EPARGNE,16.08785,1.0,0
35,0.0,0.0,0,Sans profession,CLIENT_EXCLUSIF_EPARGNE,18.1418,0.0,0
57,0.0,0.0,0,Cadre moyen,CLIENT_EXCLUSIF_EPARGNE,22.4931,0.0,0
35,0.0,0.0,1,Artisan,CLIENT_EXCLUSIF_EPARGNE,5.5111,1.0,3
28,0.0,0.0,1,Cadre moyen,CLIENT_EXCLUSIF_EPARGNE,60.461,0.0,0
57,0.0,0.0,0,Sans profession,CLIENT_EXCLUSIF_EPARGNE,163.99145,0.0,3
28,0.0,0.0,0,Employés de bureau,CLIENT_EXCLUSIF_EPARGNE,0.0,0.0,0
45,0.0,0.0,0,Ouvrier,CLIENT_EXCLUSIF_EPARGNE,7.885,1.0,0
45,0.0,0.0,0,Agriculteur,CLIENT_EXCLUSIF_EPARGNE,1143.2326,0.0,0
38,0.0,0.0,0,Agriculteur,CLIENT_EXCLUSIF_EPARGNE,11.75,0.0,0
49,176.48125,1865.95,3,Cadre supérieur,CLIENT_A_VUE,3903.2362,1.0,1
70,0.0,0.0,0,Retraités,CLIENT_EXCLUSIF_EPARGNE,6634.8935335228125,0.0,3
57,0.0,0.0,0,Employés de bureau,CLIENT_EXCLUSIF_EPARGNE,4496.3572,0.0,0
73,0.0,0.0,0,Retraités,CLIENT_EXCLUSIF_EPARGNE,2804.72375,0.0,3
45,176.48125,387.147,3,Technicien,CLIENT_A_VUE,61.15665,1.0,3
44,176.48125,358.285,0,Ouvrier,CLIENT_A_VUE,14.0019,2.0,1
27,176.48125,412.777,1,Acteur en bâtiment travaux publics,CLIENT_A_VUE,21.96045,1.0,0
19,0.0,0.0,0,Élèves,CLIENT_EXCLUSIF_EPARGNE,6634.8935335228125,1.0,0
74,0.0,0.0,0,Sans profession,CLIENT_EXCLUSIF_EPARGNE,240.6509,0.0,0
28,0.0,0.0,0,Ouvrier,CLIENT_EXCLUSIF_EPARGNE,12.333,0.0,0
39,0.0,2957.48125,0,Agriculteur,CLIENT_A_VUE,6634.8935335228125,1.0,3
27,176.48125,1114.579,3,Acteur en service de défense/sécurité,CLIENT_A_VUE,2.11515,1.0,2
69,0.0,0.0,0,Commerçant,CLIENT_EXCLUSIF_EPARGNE,1798.692,0.0,3
30,0.0,0.0,1,Cadre moyen,CLIENT_EXCLUSIF_EPARGNE,6270.54505,1.0,3
56,0.0,0.0,0,Agriculteur,CLIENT_A_VUE,604.1555,0.0,3
55,0.0,0.0,0,Employés de bureau,CLIENT_EXCLUSIF_EPARGNE,260.1328,0.0,0
40,0.0,0.0,1,Cadre supérieur,CLIENT_EXCLUSIF_EPARGNE,4121.99325,0.0,1
42,0.0,0.0,0,Sans profession,CLIENT_EXCLUSIF_EPARGNE,17.06975,0.0,0
51,0.0,2594.244,2,Cadre supérieur,CLIENT_A_VUE,904.2344,1.0,0
37,0.0,0.0,0,Ouvrier,CLIENT_EXCLUSIF_EPARGNE,18.2612,0.0,1
46,0.0,0.0,0,Ouvrier,CLIENT_EXCLUSIF_EPARGNE,7.97965,0.0,1
52,0.0,0.0,0,Agent,CLIENT_EXCLUSIF_EPARGNE,716.8533,0.0,0
22,0.0,0.0,1,Étudiants,CLIENT_EXCLUSIF_EPARGNE,1057.91845,1.0,0
41,0.0,0.0,0,Employés de bureau,CLIENT_EXCLUSIF_EPARGNE,6634.8935335228125,0.0,2
40,0.0,0.0,1,Ouvrier,CLIENT_EXCLUSIF_EPARGNE,14.45515,1.0,0
59,0.0,0.0,0,Artisan,CLIENT_EXCLUSIF_EPARGNE,6634.8935335228125,1.0,1
30,176.48125,2957.48125,2,Ingénieurs,CLIENT_A_VUE,1732.5415,1.0,3
57,176.48125,1146.415,2,Ouvrier,CLIENT_A_VUE,1152.0466,1.0,1
72,0.0,1175.099,0,Retraités,CLIENT_A_VUE,6634.8935335228125,1.0,0
59,0.0,0.0,0,Employés de bureau,CLIENT_EXCLUSIF_EPARGNE,3243.98455,0.0,0
54,0.0,0.0,1,Agriculteur,CLIENT_EXCLUSIF_EPARGNE,6.3674,0.0,1
59,0.0,0.0,0,Retraités,CLIENT_EXCLUSIF_EPARGNE,140.54435,0.0,1
32,0.0,0.0,0,Ouvrier,CLIENT_EXCLUSIF_EPARGNE,11.03545,1.0,0
23,0.0,0.0,0,Ouvrier,CLIENT_EXCLUSIF_EPARGNE,12.81145,0.0,0
62,0.0,2957.48125,2,Acteur dans le secteur d'éducation,CLIENT_A_VUE,3160.71515,1.0,0
21,176.48125,0.0,0,Ouvrier,CLIENT_A_VUE,0.0,0.0,0
45,0.0,0.0,1,Cadre moyen,CLIENT_EXCLUSIF_EPARGNE,99.02645,1.0,0
24,38.614,504.666,1,Ouvrier,CLIENT_A_VUE,130.59995,1.0,3
32,0.0,1182.488,3,Employés de bureau,CLIENT_A_VUE,154.63355,2.0,3
46,0.0,0.0,0,Retraités,CLIENT_EXCLUSIF_EPARGNE,5241.661,0.0,0
52,0.0,1846.471,3,Sans profession,CLIENT_A_VUE,1065.213,1.0,1
33,0.0,0.0,0,Ouvrier,CLIENT_EXCLUSIF_EPARGNE,22.9316,0.0,0
65,0.0,0.0,0,Cadre moyen,CLIENT_EXCLUSIF_EPARGNE,50.2415,1.0,3
43,0.0,2957.48125,2,Ouvrier,CLIENT_A_VUE,40.75915,1.0,0
31,0.0,0.0,1,Cadre moyen,CLIENT_EXCLUSIF_EPARGNE,12.07875,0.0,0
35,0.0,0.0,1,Ingénieurs,CLIENT_EXCLUSIF_EPARGNE,16.75495,0.0,0
29,176.48125,1737.311,3,Acteur en service de défense/sécurité,CLIENT_A_VUE,6607.62515,1.0,1
41,176.48125,2957.48125,4,Dirigeant et gérant,CLIENT_A_VUE,6634.8935335228125,1.0,3
59,0.0,2957.48125,1,Professionnel en santé,CLIENT_A_VUE,6634.8935335228125,1.0,1
32,0.0,1073.501,2,Cadre moyen,CLIENT_A_VUE,3119.74015,1.0,0
38,176.48125,1370.75,3,Employé de bureau,CLIENT_A_VUE,0.0,1.0,0
46,0.0,0.0,0,Agent,CLIENT_EXCLUSIF_EPARGNE,54.3574,0.0,0
